mercantil;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;1207;9;8;2
injerencia;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;2094;10;10;3
protocolizarse;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;5432;14;26;2
gravamen;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;9748;8;36;2
enajenarlo;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;9809;10;36;3
enajenación;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;13981;11;42;2
enfoque;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;51;7;4;1
avalúo;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;2980;6;17;1
mercantiles;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;3498;11;20;1
doctrina;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;4620;8;24;1
unanimidad;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;6644;10;28;2
tenor;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;9898;5;36;1
caución;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;9994;7;36;1
endosatario;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;11724;11;38;2
remitiéndose;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;13511;12;42;1
causal;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;14378;6;44;1
correlativa;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;14712;11;46;1
lícitos;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;15664;7;46;1
acrecimiento;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;1397;12;8;1
societatis;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;3619;11;20;1
affection;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;3610;9;20;1
fungible;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;4981;8;26;1
sobredimensione;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;8134;15;30;1
inciso;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;10527;6;36;1
cuantía;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;10590;7;36;1
imperativa;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;13298;10;42;1
resarcimiento;Dificil;Video-10-Licenciatura en sistemas de Informacion.txt;14500;13;44;1

