Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
blasbery;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;1176;8;2;3
raspberry;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;2947;9;5;2
indexación;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;7501;10;12;2
analogía;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;10079;8;15;1
while;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;13;5;1;1
for;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;21;3;1;1
range;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;522;5;1;1
ayovi;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;3832;5;7;1
break;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;7924;5;13;1
script;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;3394;6;5;1
false else;Dificil;Video-47-Licenciatura en sistemas de Informacion.txt;9425;10;14;1

